Recipe_ID,Recipe_Name,Meal_Type,Cuisine,Diet,Ingredients,Preparation,Prep_Time_Min
R00001,Poha,Breakfast,Maharashtrian,Vegan,Poha | Peanuts | Onion/Pyaz | Potato/Aloo,Prepare the ingredients and serve as breakfast.,25
R00002,Kanda Poha,Breakfast,Maharashtrian,Vegan,Poha | Onion/Pyaz | Peanuts,Prepare the ingredients and serve as breakfast.,25
R00003,Vegetable Poha,Breakfast,Maharashtrian,Vegan,Poha | Carrot/Gajar | Green Peas Fresh | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00004,Sabudana Khichdi,Breakfast,Maharashtrian,Vegetarian,Sabudana | Potato/Aloo | Peanuts,Prepare the ingredients and serve as breakfast.,25
R00005,Upma,Breakfast,South Indian,Vegan,Carrot/Gajar | Green Peas Fresh | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00006,Vegetable Upma,Breakfast,South Indian,Vegan,Carrot/Gajar | Green Peas Fresh,Prepare the ingredients and serve as breakfast.,25
R00007,Oats Upma,Breakfast,Indian,Vegan,Rolled Oats | Carrot/Gajar | Green Peas Fresh | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00008,Vegetable Idli,Breakfast,South Indian,Vegetarian,Idli Batter | Carrot/Gajar | Green Peas Fresh,Prepare the ingredients and serve as breakfast.,25
R00009,Ragi Idli,Breakfast,South Indian,Vegan,Ragi Flour | Idli Batter,Prepare the ingredients and serve as breakfast.,25
R00010,Masala Dosa,Breakfast,South Indian,Vegetarian,Dosa Batter | Potato/Aloo | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00011,Paneer Dosa,Breakfast,South Indian,Vegetarian,Dosa Batter | Paneer | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00012,Vegetable Dosa,Breakfast,South Indian,Vegan,Dosa Batter | Carrot/Gajar | Capsicum/Bell Pepper | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00013,Ragi Dosa,Breakfast,South Indian,Vegan,Ragi Flour | Dosa Batter,Prepare the ingredients and serve as breakfast.,25
R00014,Uttapam,Breakfast,South Indian,Vegan,Dosa Batter | Onion/Pyaz | Tomato/Tamatar,Prepare the ingredients and serve as breakfast.,25
R00015,Vegetable Uttapam,Breakfast,South Indian,Vegan,Dosa Batter | Onion/Pyaz | Tomato/Tamatar | Capsicum/Bell Pepper,Prepare the ingredients and serve as breakfast.,25
R00016,Pesarattu,Breakfast,Andhra,Vegan,Green Moong Whole | Onion/Pyaz | Green Chilli,Prepare the ingredients and serve as breakfast.,25
R00017,Moong Chilla,Breakfast,North Indian,Vegan,Moong Dal | Onion/Pyaz | Green Chilli,Prepare the ingredients and serve as breakfast.,25
R00018,Besan Chilla,Breakfast,North Indian,Vegan,Besan | Onion/Pyaz | Tomato/Tamatar,Prepare the ingredients and serve as breakfast.,25
R00019,Paneer Chilla,Breakfast,North Indian,Vegetarian,Besan | Paneer | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00020,Spinach Chilla,Breakfast,North Indian,Vegan,Besan | Spinach/Palak | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
R00021,Oats Chilla,Breakfast,Indian,Vegan,Rolled Oats | Besan | Onion/Pyaz,Prepare the ingredients and serve as breakfast.,25
