Food,Category,Diet,Meal_Type,Cuisine,Unit,Price,Calories,Protein,Carbs,Fat,Max_Quantity
Rice,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,60,3500,70,780,10,5.0
Basmati Rice,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,110,3600,80,790,10,5.0
Brown Rice,Grain,Vegetarian,"Lunch,Dinner","Indian,International",kg,90,3600,75,760,28,5.0
Parboiled Rice,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,65,3500,75,770,10,5.0
Red Rice,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,100,3500,75,760,25,4.0
Wheat Flour/Atta,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,50,3400,120,720,20,5.0
Multigrain Atta,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,70,3450,130,680,35,5.0
Maida,Grain,Vegetarian,"Lunch,Dinner",Indian,kg,45,3640,100,760,15,3.0
Oats,Grain,"Vegetarian,Vegan",Breakfast,"Indian,Western",kg,120,3890,169,663,69,2.0
Poha,Grain,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,70,3500,70,770,15,3.0
Rava/Suji,Grain,"Vegetarian,Vegan",Breakfast,Indian,kg,60,3600,120,720,10,2.0
Dalia,Grain,"Vegetarian,Vegan","Breakfast,Lunch",Indian,kg,80,3400,120,700,25,3.0
Barley,Grain,"Vegetarian,Vegan","Breakfast,Lunch","Indian,European",kg,80,3520,120,730,20,2.0
Jowar Flour,Millet,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,70,3290,100,720,25,3.0
Bajra Flour,Millet,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,60,3610,110,670,50,3.0
Ragi Flour,Millet,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,80,3280,70,720,35,3.0
Foxtail Millet,Millet,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,130,3500,120,700,35,2.0
Little Millet,Millet,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,3400,90,700,35,2.0
Kodo Millet,Millet,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3500,80,720,25,2.0
Barnyard Millet,Millet,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,3400,60,750,25,2.0
Quinoa,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner","Indian,Western",kg,250,3680,140,640,60,2.0
Corn,Grain,"Vegetarian,Vegan","Breakfast,Lunch","Indian,Mexican",kg,80,3600,90,740,45,2.0
Makai Flour,Grain,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,65,3600,90,760,40,2.0
Rice Flour,Grain,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,70,3660,60,800,10,2.0
Besan,Pulse Flour,"Vegetarian,Vegan","Breakfast,Lunch,Dinner",Indian,kg,100,3870,220,580,60,2.0
Bread,Grain,Vegetarian,Breakfast,"Indian,Western",kg,90,2650,90,490,35,2.0
Multigrain Bread,Grain,Vegetarian,Breakfast,"Indian,Western",kg,130,2500,110,430,45,2.0
Brown Bread,Grain,Vegetarian,Breakfast,"Indian,Western",kg,110,2470,130,410,40,2.0
Vermicelli,Grain,"Vegetarian,Vegan",Breakfast,Indian,kg,80,3500,120,750,10,2.0
Toor Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,150,3300,220,600,20,2.0
Moong Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,130,3470,240,620,15,2.0
Masoor Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3520,250,600,12,2.0
Chana Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,100,3600,200,600,50,2.0
Urad Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,140,3410,250,590,15,2.0
Moth Dal,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3430,230,620,12,2.0
Chickpeas/Kabuli Chana,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Indian,Mediterranean",kg,100,3640,190,610,60,2.0
Kala Chana,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,90,3650,200,600,60,2.0
Rajma,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Indian,Mexican",kg,120,3330,240,600,80,2.0
Lobia,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,110,3360,235,620,15,2.0
Green Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,100,810,54,145,40,2.0
Dry Peas,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Indian,European",kg,100,3400,230,600,15,2.0
Soybeans,Pulse,"Vegetarian,Vegan","Lunch,Dinner","Indian,Asian",kg,100,4460,360,300,180,2.0
Soya Chunks,Protein,"Vegetarian,Vegan","Lunch,Dinner","Indian,Asian",kg,180,3450,520,330,10,1.5
Horse Gram,Pulse,"Vegetarian,Vegan","Lunch,Dinner",Indian,kg,120,3200,220,570,15,2.0
Sprouted Moong,Pulse,"Vegetarian,Vegan","Breakfast,Snack,Lunch",Indian,kg,120,300,70,45,8,2.0
Full Cream Milk,Dairy,Vegetarian,"Breakfast,Snack","Indian,Western",litre,65,640,32,48,36,7.0
Toned Milk,Dairy,Vegetarian,"Breakfast,Snack",Indian,litre,65,450,32,48,15,7.0
Double Toned Milk,Dairy,Vegetarian,"Breakfast,Snack",Indian,litre,60,350,34,50,5,7.0
Curd/Dahi,Dairy,Vegetarian,"Breakfast,Lunch",Indian,kg,80,610,35,47,33,3.0
Greek Yogurt,Dairy,Vegetarian,"Breakfast,Snack","Indian,Greek,Western",kg,180,600,100,40,20,2.0
Buttermilk/Chaas,Dairy,Vegetarian,"Breakfast,Lunch",Indian,litre,50,400,16,30,16,5.0
Paneer,Dairy,Vegetarian,"Lunch,Dinner",Indian,kg,300,2650,180,50,200,1.5
Low Fat Paneer,Dairy,Vegetarian,"Lunch,Dinner",Indian,kg,350,1800,200,50,100,1.5
Cheese,Dairy,Vegetarian,"Breakfast,Snack",Western,kg,500,4000,250,130,330,0.5
Lassi,Dairy,Vegetarian,"Breakfast,Snack",Indian,litre,100,900,35,100,35,3.0
Eggs,Protein,Non-Vegetarian,"Breakfast,Lunch,Dinner","Indian,Western",dozen,90,930,78,6,66,3.0
Chicken Breast,Protein,Non-Vegetarian,"Lunch,Dinner","Indian,Western",kg,300,1650,310,0,36,3.0
Chicken Curry Cut,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,250,1800,270,0,90,3.0
Chicken Liver,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,250,1350,250,60,45,1.0
Mutton,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,700,2500,260,0,170,1.0
Rohu Fish,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,250,1700,200,0,100,2.0
Katla Fish,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,280,1700,210,0,95,2.0
Pomfret,Protein,Non-Vegetarian,"Lunch,Dinner",Indian,kg,500,1200,210,0,45,1.0
